PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02lbA,r5k1/pp1q1ppp/2n2b2/3N4/8/8/PPP2PPP/R2QN1K1 b - - 0 15,f6b2 d5f6 g7f6 d1d7,1123,79,93,4207,advantage discoveredAttack middlegame short,https://lichess.org/HdSqgYPB/black#30,Sicilian Defense
02li3,rn2k2r/ppq2pp1/2p1pnp1/8/4N3/P2P1B2/1PP2PP1/R1BQ1RbK w kq - 4 14,h1g1 c7h2,565,85,100,108,mate mateIn1 oneMove opening,https://lichess.org/dl612mnu#27,Scandinavian Defense
02m8O,2rk3r/1p3p1p/p2pbN2/4N3/4P3/3QP3/qPP3PP/2KR4 b - - 0 19,d8e7 d3d6 e7f6 e5d7,2093,84,92,624,crushing middlegame sacrifice short,https://lichess.org/Jm4QyidO/black#38,Sicilian Defense
02mOV,3rr1k1/pppq2p1/2n4p/4p3/3p2Q1/P2P3P/1PPB1PP1/R4RK1 w - - 0 18,d2h6 d7g4 h3g4 g7h6,1001,76,100,202,advantage middlegame short,https://lichess.org/vIkoWuFG#35,French Defense
02mo1,1r1q1rk1/ppp1ppbp/2n3p1/5b2/8/P1N1PNP1/1P1PKPBP/2RQ3R w - - 3 13,h1e1 f5d3,821,76,100,171,mate mateIn1 middlegame oneMove,https://lichess.org/IAs0lpke#25,English Opening
02nDq,r3k2r/ppnqn1pp/2pb1p2/3p4/3P4/P2Q1N2/1PPBNPPP/R3R1K1 b kq - 2 13,e7f5 e2g3 f5e7 g3f5 e8g8 f5d6,2513,83,92,5785,advantage discoveredAttack long middlegame,https://lichess.org/kDykMG0i/black#26,French Defense
02nLE,r3k2r/1bp2ppp/p3pn2/1p1qN3/3P4/3QP3/PPB2PPP/R4RK1 w kq - 0 15,a1c1 d5g2,507,91,100,193,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/xatzilCF#29,Queen's Gambit Accepted
02nXf,2r1k2r/1p1Nppb1/1q3n1p/p2p2p1/6P1/1P2P2P/PBQP1P2/2R1KB1R b Kk - 0 15,c8c2 d7b6 c2c1 b2c1,1400,78,91,3099,advantage hangingPiece master middlegame short,https://lichess.org/nZIEiVXA/black#30,English Opening
02nYL,r2qk2r/1p2bp1p/p1n1b3/3pPpp1/3P4/PQN2N2/1P3PPP/R1B2RK1 w kq - 0 13,b3b7 c6a5 b7a8 d8a8,1420,75,91,2392,crushing middlegame short trappedPiece,https://lichess.org/AfePgsY0#25,French Defense
02na8,r3kbnr/ppp1p1pp/2n2p2/8/4QB2/1N6/PqP2PPP/RN2K2R b KQkq - 1 9,e7e5 f4c1 f8b4 e1f1 b2a1 b3a1,2086,79,91,2612,advantage defensiveMove long middlegame trappedPiece,https://lichess.org/hTpQ7L6w/black#18,Queen's Pawn Game
