PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00OKo,r3r1k1/pbq5/1p2pp1p/2p1N3/2PP2Q1/1P1B4/P5PP/R5K1 b - - 1 24,g8f8 a1f1 c7g7 f1f6 g7f6 e5d7,2331,79,78,77,advantage exposedKing long middlegame pin sacrifice,https://lichess.org/WuHXkAoT/black#48,
00ON5,8/k1p5/P7/3N4/3P2pp/3K2n1/6P1/8 w - - 1 47,d3e3 h4h3 e3f2 h3h2 f2g3 h2h1q,1812,75,87,133,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/d71Ts3ff#93,
00OOp,5rk1/1bR3q1/pQ6/8/6r1/4R2P/P7/6K1 w - - 0 28,h3g4 g7g4 e3g3 g4g3,1053,91,86,85,endgame mate mateIn2 short,https://lichess.org/N1WcEYJH#55,
00OPc,1k1rr3/ppp1q3/8/4nQNp/8/2P4P/PP4P1/2K1R2R w - - 0 25,g5f3 e5d3 f5d3 d8d3 e1e7 e8e7,2116,76,100,201,advantage fork long middlegame,https://lichess.org/43yrfr28#49,
00OPi,5k2/5p1p/1p1P2p1/1B6/5P2/1P3KP1/n6P/8 w - - 0 38,f3e4 a2c3 e4d4 c3b5,630,82,98,430,advantage endgame fork master short,https://lichess.org/4K29qsm1#75,
00OPk,6rk/7p/R2N3P/1r6/1P5K/P7/8/8 b - - 4 50,b5d5 d6f7,816,103,93,914,endgame mate mateIn1 oneMove,https://lichess.org/aDJVIeGE/black#100,
00OQt,8/8/8/p3b3/P1B2pKp/1Pk1p2P/6P1/8 w - - 8 50,g4h4 c3d2 h4g4 e3e2 c4e2 d2e2,1663,75,88,359,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/vZaFj9IE#99,
00OR6,2r4k/5Q1p/p7/1pq5/4p2N/2P3bP/PP4P1/4R2K b - - 0 34,g3e1 f7f6 h8g8 h4f5 c5f5 f6f5,2265,79,82,116,advantage endgame long quietMove,https://lichess.org/kMLJ7GPV/black#68,
00OXc,8/5K1p/1p4pk/8/3brp2/5R2/8/8 b - - 5 50,g6g5 f3h3,686,103,92,873,endgame master mate mateIn1 oneMove,https://lichess.org/Dp1LJyaZ/black#100,
00OYl,3r4/5p2/k3p1p1/2B1Pr2/2P3n1/1p3NPp/4QP1P/6K1 w - - 0 34,f3h4 f5e5 e2f1 e5c5,1959,99,100,20,crushing endgame fork short,https://lichess.org/es489ddj#67,
00Ocp,r3k3/p1pbq3/2p2p2/4p1p1/2B3p1/2P4r/P1P2PQP/3RR1K1 b q - 3 20,e7c5 g2e4 f6f5 e4e5 c5e5 e1e5,2098,145,73,19,crushing exposedKing long middlegame,https://lichess.org/fCyysDNm/black#40,
00Oim,1r3rk1/q5pp/2R5/3P4/8/1p2NpPb/1P3P1P/2QR2K1 w - - 0 32,c1c4 a7e3 f2e3 f3f2,1234,75,94,703,advancedPawn advantage middlegame sacrifice short,https://lichess.org/p1cFe6Z8#63,
00Oqz,5r2/7r/2kpqB1P/p1p1p2Q/P3P3/2PP4/5P1K/6R1 w - - 0 40,g1g6 f8f6 g6f6 e6f6,898,94,93,429,crushing endgame master short,https://lichess.org/OxaRmufB#79,
00Oyf,8/1p6/7p/3k1pp1/1P5P/3K1P2/6P1/8 w - - 0 39,h4g5 h6g5 d3c3 d5e5 c3c4 e5f4 c4c5 f4g3,2707,87,82,184,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/eysZBqWU#77,
00Ozz,3kRr2/3n1B1p/2pP4/p1n5/Ppp5/8/1P3PPP/4R1K1 b - - 8 32,f8e8 e1e8,868,100,84,196,endgame mate mateIn1 oneMove,https://lichess.org/gO3w1uZJ/black#64,
00P45,3r1r2/p1p2p1k/1p2pPpp/7P/3qBQ2/8/PPP3P1/5R1K b - - 0 27,e6e5 h5g6 f7g6 f4g4 f8f6 f1f6 d4d1 g4d1 d8d1 h1h2,2420,96,90,42,advantage endgame veryLong,https://lichess.org/HlG7NGUO/black#54,
00P6j,r2n2k1/1bRq1rpp/1p6/3P4/p3Q3/B3P3/PP3PPP/3R2K1 b - - 0 20,d7c7 e4e8 f7f8 e8f8,1326,75,84,540,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/vBpR18cI/black#40,
00P7n,r4rk1/p1p1R1pp/2p2p2/5P2/6Q1/1P5P/q5PK/8 b - - 1 30,a2b3 g4g7,1170,270,71,10,endgame mate mateIn1 oneMove,https://lichess.org/bFrOMLOq/black#60,
00P81,6k1/5p2/4p2p/3pPP2/1R5P/7r/2B5/2b2K2 b - - 0 46,h3c3 b4b8 g8h7 f5e6 c3c2 e6e7,2253,75,93,6870,advancedPawn crushing discoveredAttack endgame long sacrifice,https://lichess.org/SIETCqbJ/black#92,
00PGi,3r1q1k/pppb2pp/2np4/6N1/5B2/1Q4P1/PP4PP/4R2K b - - 11 24,b7b6 g5f7 f8f7 b3f7,1029,84,93,1080,crushing fork middlegame short,https://lichess.org/qzZ4hC7X/black#48,
00PHg,R7/P4p2/5k1p/q5n1/5R2/7P/5PK1/8 b - - 2 46,f6e5 a8e8 e5f4 a7a8q a5a8 e8a8,1400,75,94,2098,advancedPawn advantage clearance endgame long promotion,https://lichess.org/u5o6sm6r/black#92,
00PIO,2k1r2r/1p2P3/p1b1p3/3p1npp/5q2/1N3N1Q/PP3PPP/2R2RK1 w - - 1 22,f3d4 f5d4 b3d4 f4d4 h3e6 c8c7,2295,82,87,787,crushing long middlegame,https://lichess.org/QcmS4aBG#43,
00Pbs,3r1rk1/Q3qppp/8/1ppb4/2Pn1B1n/2N3P1/PP3P2/R2R1K2 w - - 0 21,a7e7 d5g2 f1e1 h4f3,2108,76,66,182,mate mateIn2 middlegame short,https://lichess.org/fA2DSaPB#41,
00PgQ,3r4/P1R5/7P/4p3/8/4p3/2p1K3/1k6 w - - 1 55,e2e3 c2c1q c7c1 b1c1 e3e4 d8e8,2121,76,87,164,advancedPawn crushing defensiveMove endgame long master promotion,https://lichess.org/6ByRjehu#109,
00PrK,r7/7R/P3k3/4p2p/3b2p1/3K4/8/5R2 b - - 7 55,a8a6 h7h6 e6d5 h6a6,969,81,91,183,crushing endgame short skewer,https://lichess.org/N9FWAV9a/black#110,
00Pu5,6k1/1b3pbp/6p1/1Nr3q1/1Q1p4/P7/5PPP/4RBK1 b - - 0 27,c5c1 e1e8 g7f8 b4f8,1394,221,0,13,master mate mateIn2 middlegame short,https://lichess.org/x04vixVv/black#54,
00PvP,8/6B1/7p/1p4p1/1Pp3P1/5P1k/4K2b/8 b - - 18 51,h6h5 g4h5 h3h4 h5h6 h4h5 h6h7,848,124,100,21,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/M7zTwdgr/black#102,
